Feature_Selector,Model,F1_with_FS,F1_without_FS,Abs_Diff,Mean_DPR_with_FS,Mean_EOR_with_FS,Mean_DPR_without_FS,Mean_EOR_without_FS,Num_Features
RFE_RF40,LR,0.4588,0.53,0.1338,0.6955,,0.4855,,14.0
RFE_RF40,CatBoost,0.5257,0.598,0.1185,0.5876,0.3459,,,14.0
RFE_RF60,RandomForest,0.5575,0.5,0.0789,0.5526,0.4389,,,21.0
RFE_RF60,XGBoost,0.5804,0.5764,0.0279,0.5445,0.4599,,,21.0
RFE_RF60,kNN,0.4013,0.4695,0.0825,0.6444,,,,21.0
RFE_RF60,SVM,0.4688,0.449,0.0295,0.6396,0.4851,,,21.0
RFE_RF60,MLP,0.5156,0.5219,0.0608,0.5456,,,,21.0
RFE_RF60,LR,0.5306,0.53,0.012,0.489,,0.4855,,21.0
RFE_RF60,CatBoost,0.5738,0.598,0.0325,0.5926,0.4031,,,21.0
RFE_RF80,RandomForest,0.5298,0.5,0.1136,0.5387,,,,28.0
RFE_RF80,XGBoost,0.5764,0.5764,0.0,0.5342,0.3936,,,28.0
RFE_RF80,kNN,0.4245,0.4695,0.0822,0.5784,,,,28.0
RFE_RF80,SVM,0.461,0.449,0.012,0.6535,0.4749,,,28.0
RFE_RF80,MLP,0.4835,0.5219,0.0384,0.5482,,,,28.0
RFE_RF80,LR,0.5197,0.53,0.0103,0.4807,,0.4855,,28.0
RFE_RF80,CatBoost,0.5817,0.598,0.0259,0.5013,,,,28.0
RFE_XGBoost20,RandomForest,0.6048,0.5,0.1047,0.4822,,,,7.0
RFE_XGBoost20,XGBoost,0.5857,0.5764,0.1205,0.4002,,,,7.0
RFE_XGBoost20,kNN,0.54,0.4695,0.1741,0.6082,0.2967,,,7.0
RFE_XGBoost20,SVM,0.5458,0.449,0.1755,0.5329,0.3442,,,7.0
RFE_XGBoost20,MLP,0.5519,0.5219,0.1521,0.6007,0.4049,,,7.0
RFE_XGBoost20,LR,0.5107,0.53,0.0798,0.5636,,0.4855,,7.0
RFE_XGBoost20,CatBoost,0.6095,0.598,0.1296,0.457,,,,7.0
RFE_XGBoost40,RandomForest,0.6256,0.5,0.134,0.4826,,,,14.0
RFE_XGBoost40,XGBoost,0.6084,0.5764,0.0321,0.5048,,,,14.0
RFE_XGBoost40,kNN,0.4317,0.4695,0.0965,0.7151,0.5425,,,14.0
RFE_XGBoost40,SVM,0.4711,0.449,0.0656,0.6879,0.4675,,,14.0
RFE_XGBoost40,MLP,0.4667,0.5219,0.0907,0.6236,,,,14.0
RFE_XGBoost40,LR,0.5826,0.53,0.0747,0.4692,,0.4855,,14.0
RFE_XGBoost40,CatBoost,0.5496,0.598,0.1008,0.5436,,,,14.0
RFE_XGBoost60,RandomForest,0.5748,0.5,0.1681,0.5396,,,,21.0
RFE_XGBoost60,XGBoost,0.5574,0.5764,0.0652,0.5302,,,,21.0
RFE_XGBoost60,kNN,0.3815,0.4695,0.0881,0.6848,,,,21.0
RFE_XGBoost60,SVM,0.4583,0.449,0.052,0.6557,0.5116,,,21.0
RFE_XGBoost60,MLP,0.4865,0.5219,0.0375,0.624,,,,21.0
RFE_XGBoost60,LR,0.4918,0.53,0.0584,0.4217,,0.4855,,21.0
RFE_XGBoost60,CatBoost,0.5608,0.598,0.1293,0.532,0.3448,,,21.0
RFE_XGBoost80,RandomForest,0.5698,0.5,0.0756,0.5688,0.4551,,,28.0
RFE_XGBoost80,XGBoost,0.5764,0.5764,0.0,0.5342,0.3936,,,28.0
RFE_XGBoost80,kNN,0.395,0.4695,0.0887,0.5841,,,,28.0
RFE_XGBoost80,SVM,0.461,0.449,0.012,0.6535,0.4749,,,28.0
RFE_XGBoost80,MLP,0.471,0.5219,0.0592,0.5204,,,,28.0
RFE_XGBoost80,LR,0.5249,0.53,0.0051,0.4692,,0.4855,,28.0
RFE_XGBoost80,CatBoost,0.5755,0.598,0.0225,0.4799,,,,28.0
L1_LogisticRegression,RandomForest,0.5653,0.5,0.0745,0.4894,,,,26.6
L1_LogisticRegression,XGBoost,0.6167,0.5764,0.0403,0.5342,0.3534,,,26.6
L1_LogisticRegression,kNN,0.406,0.4695,0.1082,0.5649,,,,26.6
